experiment,round,train_loss,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp
rq3_interpretability,1,7181.794766164827,84.73003140950823,74.16010284423828,11066504.979874868,0.9778208836767303,0.9053865734747213,0.0,0.0,0.0,3089,0,620,0
rq3_interpretability,2,6567.2056892761175,81.83291201149602,71.1895523071289,8559806.944398452,0.9647678025042032,0.8775838537147892,0.0,0.0,0.0,3089,0,620,0
rq3_interpretability,3,6101.438404633207,78.7590675583215,68.1438217163086,6488264.9138544435,0.9680959492058189,0.8801156863201445,0.0,0.0,0.0,3089,0,620,0
rq3_interpretability,4,5623.287174785857,75.50393525029838,64.99427795410156,4817925.660739422,0.9707489635438967,0.874532158663126,1.0,0.06451612903225806,0.12121212121212122,3089,0,580,40
rq3_interpretability,5,5137.6081045568235,72.0653220663812,61.68544387817383,3503015.409945906,0.9707364320847127,0.8701065541868088,0.8822115384615384,0.5919354838709677,0.7084942084942085,3040,49,253,367
rq3_interpretability,6,4647.361142208246,68.41663494721149,58.0730094909668,2494338.362546701,0.9671738426675298,0.8800967860639838,0.8283582089552238,0.7161290322580646,0.7681660899653979,2997,92,176,444
rq3_interpretability,7,4151.246752866997,64.52445484804579,54.00407791137695,1740660.0045499157,0.8641062458881149,0.8319506688865231,0.949438202247191,0.5451612903225806,0.6926229508196722,3071,18,282,338
rq3_interpretability,8,3668.9821326463434,60.59224509799604,50.31208801269531,1189937.5948576964,0.9652419093766643,0.9032623158123068,0.853448275862069,0.7983870967741935,0.825,3004,85,125,495
rq3_interpretability,9,3205.050753931212,56.49291083498331,46.554115295410156,798938.0791304337,0.9695647406510093,0.9116836554268671,0.8467874794069192,0.8290322580645161,0.8378158109209454,2996,93,106,514
rq3_interpretability,10,2759.5873022239925,52.344458950422826,42.966331481933594,526054.2908824472,0.9810874173706909,0.9173971182083989,0.8083209509658247,0.8774193548387097,0.8414539829853055,2960,129,76,544
rq3_interpretability,11,2345.598244154231,48.18210137154797,39.50242614746094,341184.9658004735,0.9817202560594828,0.9152107558743008,0.7741046831955923,0.9064516129032258,0.8350668647845468,2925,164,58,562
rq3_interpretability,12,1954.3367435380321,43.80608709530632,35.81903076171875,216984.3903654566,0.9821886193464844,0.9188008752877799,0.823170731707317,0.8709677419354839,0.8463949843260188,2973,116,80,540
rq3_interpretability,13,1599.930994376547,39.5720916739705,32.5257682800293,136690.63395562588,0.9813939159765661,0.9138551441215991,0.799410029498525,0.8741935483870967,0.8351309707241911,2953,136,78,542
rq3_interpretability,14,1284.9802571958317,35.41323091484488,29.37934684753418,86583.36646926141,0.9810461679842105,0.9116564911946629,0.7997032640949555,0.8693548387096774,0.8330757341576507,2954,135,81,539
rq3_interpretability,15,1006.0503089370917,31.421517588718164,26.41721534729004,56660.74204198754,0.9816560323311648,0.9155161930402926,0.8211009174311926,0.8661290322580645,0.8430141287284144,2972,117,83,537
rq3_interpretability,16,777.8175672451504,27.86659175491607,23.753192901611328,40738.13258743118,0.9814581397048843,0.9138382449656632,0.8053892215568862,0.867741935483871,0.8354037267080745,2959,130,82,538
rq3_interpretability,17,591.8879367065296,24.742584658953252,21.312744140625,35262.251682532726,0.9812033333681429,0.9127104275710345,0.8238021638330757,0.8596774193548387,0.8413575374901342,2975,114,87,533
rq3_interpretability,18,451.4460433968059,22.409323168997723,19.223831176757812,36355.70745376467,0.9816622980607567,0.9148385872778456,0.8100303951367781,0.8596774193548387,0.8341158059467919,2964,125,87,533
rq3_interpretability,19,361.5089420439247,20.737799677140742,17.37369155883789,37183.658220866644,0.9818909971908646,0.916784611156488,0.8042488619119879,0.8548387096774194,0.8287724784988272,2960,129,90,530
rq3_interpretability,20,311.37132977799274,19.498808995579545,15.913372039794922,34911.72625773084,0.9840761703860734,0.9275763211076636,0.8253477588871716,0.8612903225806452,0.8429360694554064,2976,113,86,534
rq3_interpretability,21,277.98899665961784,18.51440940761791,14.768805503845215,35734.39451497679,0.9842202821666893,0.9285528991010898,0.815267175572519,0.8612903225806452,0.8376470588235294,2968,121,86,534
rq3_interpretability,22,241.97748240221827,17.938953726207547,14.12200927734375,28666.196857282364,0.9848478994141542,0.9291213545883145,0.8107302533532041,0.8774193548387097,0.8427575522850503,2962,127,76,544
rq3_interpretability,23,213.56898929084718,16.484515698451684,12.783935546875,23956.47666974583,0.9860953017470944,0.9349226054880844,0.8227272727272728,0.8758064516129033,0.8484375,2972,117,77,543
rq3_interpretability,24,202.95696563247398,15.785326380238834,12.138169288635254,24477.133200612236,0.987354191250953,0.9409736839761131,0.8615635179153095,0.853225806451613,0.8573743922204214,3004,85,91,529
rq3_interpretability,25,187.1851727783596,15.647127398509776,11.716584205627441,27799.709770072423,0.9877379671884627,0.9420355481803,0.8459119496855346,0.867741935483871,0.856687898089172,2991,98,82,538
rq3_interpretability,26,190.34174664067768,15.72727319634217,11.721063613891602,25442.689958594106,0.988347831535417,0.9452620116261821,0.8596774193548387,0.8596774193548387,0.8596774193548387,3002,87,87,533
rq3_interpretability,27,183.90436654557212,15.952461669761044,11.825613021850586,21284.642855890113,0.9892192900928373,0.9459702847602747,0.8147632311977716,0.9435483870967742,0.874439461883408,2956,133,35,585
rq3_interpretability,28,172.4595826722256,15.35323126267165,11.411571502685547,17810.071826155672,0.989755009972953,0.9497679343290637,0.8273381294964028,0.9274193548387096,0.8745247148288974,2969,120,45,575
rq3_interpretability,29,170.2558072942198,15.241005668399303,11.19565200805664,21710.756931593725,0.9903137041949059,0.9547865552054852,0.8887070376432079,0.8758064516129033,0.8822095857026807,3021,68,77,543
rq3_interpretability,30,164.80185808364052,15.28797661575613,11.198888778686523,24509.159975773982,0.9894740964295785,0.9512877116927867,0.8762057877813505,0.8790322580645161,0.8776167471819646,3012,77,75,545
