target,subsystem,mean_abs_input_gradient,total_normalized_importance,rank
fault,bypass and flow path,0.06114125283602334,0.27418050033358954,1.0
fault,thermal core,0.03147372993043973,0.21171016178313978,2.0
fault,spool speed control,0.03125340559108736,0.14015209019472674,3.0
fault,fuel and actuator response,0.021377021450462053,0.09586264862201627,4.0
fault,compressor flow path,0.033061910420656204,0.07413105489865705,5.0
fault,high-pressure spool,0.030511467724863905,0.0684124801069374,6.0
fault,engine efficiency,0.025092492549447343,0.05626211307998289,7.0
fault,fan and low-pressure compressor,0.02135787976294523,0.04788840502805962,8.0
fault,bleed and cooling control,0.014004414733790327,0.03140054595289074,9.0
rul,bypass and flow path,0.32713839841017034,0.2723613807933157,1.0
rul,thermal core,0.16219800406058008,0.20255863831278398,2.0
rul,spool speed control,0.1689222462628095,0.14063740747780396,3.0
rul,fuel and actuator response,0.11926549139025155,0.09929532599629047,4.0
rul,compressor flow path,0.18771660286438419,0.07814239080835562,5.0
rul,high-pressure spool,0.14917806153243873,0.062099623615724825,6.0
rul,fan and low-pressure compressor,0.13962536593317054,0.05812304156916733,7.0
rul,engine efficiency,0.13396011790609919,0.0557647204691552,8.0
rul,bleed and cooling control,0.07451134035363793,0.031017470957402923,9.0
