source_client_id,validator_client_id,distribution_distance,similarity
0,0,0.0,1.0
0,1,186.06448364257812,1.159864239451093e-27
0,2,86.01620483398438,3.530847513461526e-13
0,3,238.05934143066406,3.446517995004698e-35
0,4,266.0455017089844,3.0617441087508123e-39
1,0,186.06448364257812,1.159864239451093e-27
1,1,0.0,1.0
1,2,100.05628967285156,3.2761856604483228e-15
1,3,424.1189270019531,4.004024972465877e-62
1,4,452.1031188964844,3.5593448799563303e-66
2,0,86.01620483398438,3.530847513461526e-13
2,1,100.05628967285156,3.2761856604483228e-15
2,2,0.0,1.0
2,3,324.0741882324219,1.2174639429787468e-47
2,4,352.0605773925781,1.0814621251914059e-51
3,0,238.05934143066406,3.446517995004698e-35
3,1,424.1189270019531,4.004024972465877e-62
3,2,324.0741882324219,1.2174639429787468e-47
3,3,0.0,1.0
3,4,28.00414276123047,8.83049623001707e-05
4,0,266.0455017089844,3.0617441087508123e-39
4,1,452.1031188964844,3.5593448799563303e-66
4,2,352.0605773925781,1.0814621251914059e-51
4,3,28.00414276123047,8.83049623001707e-05
4,4,0.0,1.0
